Book title,Author of the book,Link to the book
Book title,Author of the book,Link to the book
Легенда про вічне життя,Іван Франко,https://knigogo.com.ua/knigi/legenda-pro-vichne-zhyttya/
Перехресні стежки,Іван Франко,https://knigogo.com.ua/knigi/perehresni-stezhky/
Старосвітські батюшки та...,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/starosvitski-batyushky-ta-matushky/
Кассандра,Леся Українка,https://knigogo.com.ua/knigi/kassandra/
Чарлі і шоколадна фабрика,Роальд Даль,https://knigogo.com.ua/knigi/charli-i-shokoladna-fabryka/
Пархімове снідання,Григорій Квітка-Основ’яненко,https://knigogo.com.ua/knigi/parhimove-snidannya/
Хазяїн,Іван Карпенко-Карий,https://knigogo.com.ua/knigi/hazyayin/
Вибрані новели,Василь Стефаник,https://knigogo.com.ua/knigi/vybrani-novely/
Intermezzo (Інтермецо),Михайло Коцюбинський,https://knigogo.com.ua/knigi/intermezzo/
Завдання Героїв,Морган Райс,https://knigogo.com.ua/knigi/zavdannya-geroyiv/
Бояриня,Леся Українка,https://knigogo.com.ua/knigi/boyarynya/
Сліпий музикант,Володимир Короленко,https://knigogo.com.ua/knigi/slipyj-muzykant/
Гетьман Іван Виговський,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/getman-ivan-vygovskyj/
Маруся,Григорій Квітка-Основ’яненко,https://knigogo.com.ua/knigi/marusya-kvitka-osnovyanenko/
Циган,Пантелеймон Куліш,https://knigogo.com.ua/knigi/tsygan/
За двома зайцями,Михайло Петрович Старицький,https://knigogo.com.ua/knigi/za-dvoma-zajtsyamy/
Макбет,Вільям Шекспір,https://knigogo.com.ua/knigi/makbet/
Дві московки,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/dvi-moskovky/
Кіт у чоботях,Микола Хвильовий,https://knigogo.com.ua/knigi/kit-u-chobotyah/
Салдацький патрет,Григорій Квітка-Основ’яненко,https://knigogo.com.ua/knigi/saldatskyj-patret/
Маруся Богуславка,Пантелеймон Куліш,https://knigogo.com.ua/knigi/marusya-boguslavka/
Хмари,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/hmary/
Сестра,Марко Вовчок,https://knigogo.com.ua/knigi/sestra/
В дорозі,Михайло Коцюбинський,https://knigogo.com.ua/knigi/v-dorozi/
"Митькозавр із Юрківки, а...",Ярослав Стельмах,https://knigogo.com.ua/knigi/mytkozavr-iz-yurkivky/
Магомет і Хадиза,Пантелеймон Куліш,https://knigogo.com.ua/knigi/magomet-i-hadyza/
Князь Єремія Вишневецький,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/knyaz-yeremiya-vyshnevetskyj/
Жага до життя,Джек Лондон,https://knigogo.com.ua/knigi/zhaga-do-zhyttya/
Повість про санаторійну ...,Микола Хвильовий,https://knigogo.com.ua/knigi/povist-pro-sanatorijnu-zonu/
Федько-халамидник,Володимир Винниченко,https://knigogo.com.ua/knigi/fedko-halamydnyk/
На полі крові,Леся Українка,https://knigogo.com.ua/knigi/na-poli-krovi/
Безталанна,Іван Карпенко-Карий,https://knigogo.com.ua/knigi/beztalanna/
Усмішка,Рей Бредбері,https://knigogo.com.ua/knigi/usmishka-bredberi/
Маленький грішник,Михайло Коцюбинський,https://knigogo.com.ua/knigi/malenkyj-grishnyk/
Вальдшнепи,Микола Хвильовий,https://knigogo.com.ua/knigi/valdshnepy/
Без пуття,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/bez-puttya/
